1.576256342414245637e+03,4.523582836746118119e+01,-5.000000000000000000e+00,1.357156710818665513e-01,3.894804822438408150e-03,1.357156710818665317e+02,3.894804822438407310e+00
1.908572711255834292e+03,3.009244892486607625e+01,-4.000000000000000000e+00,1.643281104391273451e-01,2.590959852430969445e-03,1.643281104391273288e+02,2.590959852430969157e+00
2.064904796269921462e+03,4.065363238513977961e+01,-3.000000000000000000e+00,1.777883029588402386e-01,3.500277748360535422e-03,1.777883029588402337e+02,3.500277748360534957e+00
2.239067093488938099e+03,5.535200808918408910e+01,-2.000000000000000000e+00,1.927836767493975867e-01,4.765807896478750118e-03,1.927836767493975572e+02,4.765807896478749583e+00
2.484538840699510274e+03,6.297741594618204175e+01,-1.000000000000000000e+00,2.139187941842278506e-01,5.422355512966273855e-03,2.139187941842278349e+02,5.422355512966273494e+00
3.406058710541051823e+03,4.432829062917794971e+01,0.000000000000000000e+00,2.932616549775846071e-01,3.816665823172221694e-03,2.932616549775845556e+02,3.816665823172221472e+00
2.579040638489050707e+03,5.187431660682962331e+01,1.000000000000000000e+00,2.220553989739072753e-01,4.466378659848031264e-03,2.220553989739072449e+02,4.466378659848030175e+00
2.275227937387054226e+03,4.440881367195393636e+01,2.000000000000000000e+00,1.958971254090253744e-01,3.823598857155234045e-03,1.958971254090253638e+02,3.823598857155233954e+00
1.987025046908210925e+03,3.153804477435308939e+01,3.000000000000000000e+00,1.710828565387969846e-01,2.715425655071801100e-03,1.710828565387969604e+02,2.715425655071801003e+00
1.738170817182140127e+03,2.158741180639111690e+01,4.000000000000000000e+00,1.496565073593822681e-01,1.858676156530275365e-03,1.496565073593822603e+02,1.858676156530275181e+00
1.538828470175552638e+03,1.688653939074382748e+01,5.000000000000000000e+00,1.324931312821150953e-01,1.453931041543043631e-03,1.324931312821150868e+02,1.453931041543043534e+00
