1.463700000000026957e-06,2.020725942131354531e-09,-5.000000000000000000e+00,1.000000000000000000e+02,6.832001093120048754e+05,9.431988689989206023e+02,3.416000546560023915e-02,1.380560184553745603e+04,-3.376699750061773919e+00,1.380560184553745627e-03,1.000000000000000021e-02
2.076125000000056715e-06,2.527350803382775682e-08,-5.000000000000000000e+00,1.100000000000000000e+02,4.816665663194521912e+05,5.863521624902436997e+03,2.408332831597260679e-02,1.217340383350090560e+05,-3.726235448991044308e+00,1.217340383350090476e-02,9.090909090909090468e-03
3.863475000000081624e-06,8.183940065908073448e-09,-5.000000000000000000e+00,1.200000000000000000e+02,2.588343395518228645e+05,5.482848269733784718e+02,1.294171697759114240e-02,2.118284721891017762e+04,-4.347299311107961195e+00,2.118284721891018109e-03,8.333333333333333218e-03
2.205575000000042830e-06,1.367887125284695558e-07,-5.000000000000000000e+00,1.300000000000000000e+02,4.533965065799080185e+05,2.811943570269439442e+04,2.266982532899540145e-02,6.201952439997139154e+05,-3.786720519433035559e+00,6.201952439997138883e-02,7.692307692307692735e-03
1.018825000000015271e-05,5.340489990334046331e-09,-5.000000000000000000e+00,1.400000000000000000e+02,9.815228326748803374e+04,5.144959009824493279e+01,4.907614163374401060e-03,5.241812863184517482e+03,-5.316967369043097413e+00,5.241812863184517777e-04,7.142857142857142634e-03
1.421025000000028293e-05,1.371206889382991366e-08,-5.000000000000000000e+00,1.500000000000000000e+02,7.037173870973277371e+04,6.790465539778919890e+01,3.518586935486638437e-03,9.649421293664530822e+03,-5.649695808752454695e+00,9.649421293664530884e-04,6.666666666666667095e-03
2.732600000000062911e-05,4.589934640165735645e-08,-5.000000000000000000e+00,1.600000000000000000e+02,3.659518407377504627e+04,6.146874882655993133e+01,1.829759203688752309e-03,1.679695030434615546e+04,-6.303570903470309794e+00,1.679695030434615478e-03,6.250000000000000347e-03
4.621300000000129379e-05,2.589415957344583280e-07,-5.000000000000000000e+00,1.700000000000000000e+02,2.163893276783528563e+04,1.212476961221684491e+02,1.081946638391764227e-03,5.603219780893927964e+04,-6.828993417341684413e+00,5.603219780893928074e-03,5.882352941176470507e-03
6.756325000000101030e-05,2.524464052063060408e-07,-5.000000000000000000e+00,1.800000000000000000e+02,1.480094578043514775e+04,5.530292808478338884e+01,7.400472890217573438e-04,3.736445555924296787e+04,-7.208796469724381595e+00,3.736445555924297179e-03,5.555555555555555768e-03
9.878000000000256096e-05,8.371578903614346057e-08,-5.000000000000000000e+00,1.900000000000000000e+02,1.012350678274928214e+04,8.579645253397290006e+00,5.061753391374640811e-04,8.474973581306063352e+03,-7.588627428666495867e+00,8.474973581306063410e-04,5.263157894736841987e-03
1.362650000000017591e-04,4.820874747726652476e-07,-5.000000000000000000e+00,2.000000000000000000e+02,7.338641617436517663e+03,2.596313951206482429e+01,3.669320808718258813e-04,3.537867205611558893e+04,-7.910333792780825490e+00,3.537867205611558690e-03,5.000000000000000104e-03
2.144200000000022466e-04,8.458181443593010830e-07,-5.000000000000000000e+00,2.100000000000000000e+02,4.663744053726282800e+03,1.839697482179576227e+01,2.331872026863141185e-04,3.944679341289489093e+04,-8.363668981982094408e+00,3.944679341289489272e-03,4.761904761904762334e-03
2.976850000000046148e-04,2.248779298498294281e-06,-5.000000000000000000e+00,2.200000000000000000e+02,3.359255588961434114e+03,2.537657062606799485e+01,1.679627794480716943e-04,7.554224426821168163e+04,-8.691768154011377590e+00,7.554224426821167827e-03,4.545454545454545234e-03
4.097975000000116563e-04,5.445856414141922379e-06,-5.000000000000000000e+00,2.300000000000000000e+02,2.440229625607700200e+03,3.242855351385613716e+01,1.220114812803850058e-04,1.328914015859483625e+05,-9.011395408803362983e+00,1.328914015859483655e-02,4.347826086956521792e-03
6.656000000000041441e-04,4.243524478552551959e-06,-5.000000000000000000e+00,2.400000000000000000e+02,1.502403846153836867e+03,9.578556937838445862e+00,7.512019230769183752e-05,6.375487497825308674e+04,-9.496421163060995596e+00,6.375487497825308748e-03,4.166666666666666609e-03
8.293500000000112414e-04,2.569208697903508276e-05,-5.000000000000000000e+00,2.500000000000000000e+02,1.205763549767874110e+03,3.735284499522023083e+01,6.028817748839370214e-05,3.097858199678632081e+05,-9.716374535006055524e+00,3.097858199678632171e-02,4.000000000000000083e-03
1.041125000000003853e-03,3.990933735789887300e-05,-5.000000000000000000e+00,2.600000000000000000e+02,9.604994597190503782e+02,3.681872682915791728e+01,4.802497298595251551e-05,3.833289697000717861e+05,-9.943789411809499157e+00,3.833289697000717700e-02,3.846153846153846367e-03
1.358550000000015214e-03,4.838195255827817612e-05,-5.000000000000000000e+00,2.700000000000000000e+02,7.360789076588928310e+02,2.621393013838384789e+01,3.680394538294463717e-05,3.561293478950177669e+05,-1.020990550704306976e+01,3.561293478950177532e-02,3.703703703703703845e-03
1.650125000000004236e-03,9.914547497701807130e-05,-5.000000000000000000e+00,2.800000000000000000e+02,6.060146958563730095e+02,3.641155358759674954e+01,3.030073479281864999e-05,6.008361486373324879e+05,-1.040433859515491655e+01,6.008361486373324512e-02,3.571428571428571317e-03
3.373450000000042560e-03,1.742443112423585944e-04,-5.000000000000000000e+00,2.900000000000000000e+02,2.964324356371036515e+02,1.531122903184611417e+01,1.482162178185518122e-05,5.165166557748192572e+05,-1.111942351210954172e+01,5.165166557748192278e-02,3.448275862068965469e-03
